dd,tipoCurto,Potencia_Carga,IA_Sim,IB_Sim,IC_Sim,VA_Sim,VB_Sim,VC_Sim,VA_Entrada_TRIF,VB_Entrada_TRIF,VC_Entrada_TRIF,IA_Entrada_TRIF,IB_Entrada_TRIF,IC_Entrada_TRIF
5,1,15000,16.2694304909811,16.1836315440541,16.1989740838637,166.312055896645,241.863465284654,227.401612092932,13755.4004071559,13755.3895329664,13755.1749640105,16.2357894660157,16.1651864204391,16.2510827429486
5,2,15000,16.2694304909811,16.1836315440541,16.1989740838637,166.312055896645,241.863465284654,227.401612092932,13755.4004071559,13755.3895329664,13755.1749640105,16.2357894660157,16.1651864204391,16.2510827429486
5,3,15000,13.271569546734,1.73620860917994,14.8141930700477,11349.4483956844,11536.7729176816,234.8324434746,13798.3510786849,13766.6255021069,13765.6083815157,6.80289155165047,9.46599122283633,16.2088049135964
5,4,15000,1.74541324985908,14.8183140028098,13.2654596967802,11532.5588198571,228.292767929156,11353.6139774758,13766.6017357082,13765.6318977662,13798.3513278977,9.47427091915812,16.2076522660364,6.79351911625987
5,5,15000,14.8407023884663,13.291535607102,1.73806917615725,166.311957791531,11382.3812923593,11505.7376435597,13765.6269276045,13798.3550879962,13766.4565124471,16.2357895928468,6.80993187452269,9.48454536317035
5,1,30000,32.2653797823592,31.9317727485977,31.9875180024178,329.187301592776,476.884605978142,450.083924492899,13712.1121199047,13712.0942627231,13711.2426373059,32.1361028455184,31.857113458695,32.1914941806425
5,2,30000,32.2653797823592,31.9317727485977,31.9875180024178,329.187301592776,476.884605978142,450.083924492899,13712.1121199047,13712.0942627231,13711.2426373059,32.1361028455184,31.857113458695,32.1914941806425
5,3,30000,26.2298843598065,3.44607020142386,29.2668779726992,11261.2013772062,11627.5562474638,463.959145029512,13796.7150625679,13734.7320556224,13731.6553469623,13.4562968309911,18.6979895677782,32.0272877640423
5,4,30000,3.48207302983846,29.283097174062,26.2058165997357,11619.3468378716,451.062057594731,11269.6948770966,13734.6378326626,13731.7471315037,13796.7174917867,18.7305862779733,32.0227382838569,13.4194011441081
5,5,30000,29.3735885891656,26.3105812346161,3.45317614837387,329.187386100449,11325.0951662917,11567.2838371151,13731.7112936891,13796.7317257035,13734.0612011018,32.1361027351812,13.4850033931711,18.7724779474811
5,1,45000,47.9867240825807,47.2571656805092,47.3706083133574,488.691530162906,705.209058385238,668.042807832131,13670.1032735073,13670.1171094314,13668.2180022437,47.7073118090547,47.0875400866679,47.8196863701141
5,2,45000,47.9867240825807,47.2571656805092,47.3706083133574,488.691530162906,705.209058385238,668.042807832131,13670.1032735073,13670.1171094314,13668.2180022437,47.7073118090547,47.0875400866679,47.8196863701141
