fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
6.109420249,300.0,6.109420249,300.0
6.109420249,300.0,276.61,0.01
6.109420249,300.0,276.61,0.01
,,276.61,0.01
,,122.24,0.05
,,87.24,0.1
,,50.52,0.3
,,40.35,0.5
,,35.2,0.7
,,30.87,1.0
,,24.19,2.0
,,21.68,3.0
,,17.49846689,5.0
,,13.83566379,7.0
,,11.09174815,10.0
,,8.07,20.0
,,7.04,30.0
,,6.09,50.0
,,5.7,70.0
,,5.4,100.0
,,5.10505,200.0
,,5.046612976,300.0
