transformer/primaryAmps,transformer/primarySeconds,transformer/secondaryAmps,transformer/secondarySeconds
6.260940069979204,980.296,10.844266304347823,980.296
6.317514120813383,892.346,10.942255434782606,892.346
6.4065641242894795,802.598,11.09649456521739,802.598
6.549081783129658,730.591,11.343342391304347,730.591
6.681385990196943,669.047,11.572499999999996,669.047
6.836846963495857,602.359,11.841766304347825,602.359
6.947124002684277,539.074,12.032771739130434,539.074
7.158688360837051,485.341,12.399211956521736,485.341
7.3106193392835825,440.915,12.662364130434781,440.915
7.473234435483324,402.563,12.944021739130433,402.563
7.700801436966898,354.906,13.338179347826085,354.906
7.887891164143155,315.088,13.662228260869561,315.088
8.160689166335253,277.231,14.134728260869561,277.231
8.45137247577942,246.62,14.638206521739127,246.62
8.673997484469659,219.829,15.023804347826083,219.829
8.902458751315837,197.719,15.419510869565213,197.719
9.173562355978792,179.083,15.889076086956518,179.083
9.349544366019554,163.833,16.193885869565214,163.833
9.576640701522809,152.604,16.58722826086956,152.604
9.789664124214568,140.449,16.956195652173907,140.449
10.017419392090272,131.085,17.350679347826087,131.085
10.281321807254365,118.374,17.80777173913043,118.374
10.5310571764109,109.711,18.24032608695652,109.711
10.884386127835343,99.4694,18.85230978260869,99.4694
11.328553613461091,89.2864,19.621630434782606,89.2864
11.650253811008191,80.7897,20.178831521739127,80.7897
12.101481286338704,73.615,20.960380434782607,73.615
12.545083972788069,67.6839,21.72872282608695,67.6839
13.096280902338046,60.6335,22.683423913043477,60.6335
13.549202775197699,55.2489,23.467907608695647,55.2489
14.329614037162361,49.8914,24.819619565217387,49.8914
15.094446255178509,44.8286,26.14434782608695,44.8286
15.979816030754003,40.32,27.67785326086956,40.32
16.748837175994975,36.1923,29.009836956521728,36.1923
17.87363473575805,31.7803,30.958043478260866,31.7803
18.790068466034505,28.6126,32.54535326086956,28.6126
19.971910742612074,25.2757,34.592364130434774,25.2757
21.10113256259013,22.7109,36.548233695652165,22.7109
22.835772033050755,19.2179,39.55271739130434,19.2179
24.638940470245625,16.4256,42.67589673913043,16.4256
26.58448536648658,14.0812,46.04567934782607,14.0812
28.284860353580083,12.2907,48.9908152173913,12.2907
30.366098251946607,10.6636,52.59562499999999,10.6636
33.49268529259859,8.78323,58.011032608695636,8.78323
35.92118055124346,7.55979,62.21730978260868,7.55979
39.540554873288,6.23291,68.48624999999998,6.23291
43.04847549119333,5.25323,74.56214673913043,5.25323
46.07758760732153,4.52602,79.80872282608695,4.52602
47.25897920604915,4.288545961988414,81.8549530987182,4.288545961988414
