transformer/primaryAmps,transformer/primarySeconds,transformer/secondaryAmps,transformer/secondarySeconds
11.130560124407475,980.296,19.27869565217391,980.296
11.23113621477935,892.346,19.452898550724633,892.346
11.389447332070185,802.598,19.72710144927536,802.598
11.64281205889717,730.591,20.165942028985505,730.591
11.8780195381279,669.047,20.57333333333333,669.047
12.154394601770413,602.359,21.052028985507246,602.359
12.350442671438715,539.074,21.39159420289855,539.074
12.726557085932535,485.341,22.043043478260863,485.341
12.996656603170814,440.915,22.51086956521739,440.915
13.28575010752591,402.563,23.01159420289855,402.563
13.690313665718929,354.906,23.712318840579705,354.906
14.022917625143387,315.088,24.288405797101447,315.088
14.507891851262674,277.231,25.128405797101447,277.231
15.024662179163416,246.62,26.02347826086956,246.62
15.420439972390506,219.829,26.70898550724637,219.829
15.8265933356726,197.719,27.412463768115938,197.719
16.308555299517852,179.083,28.24724637681159,179.083
16.621412206256988,163.833,28.78913043478261,163.833
17.02513902492944,152.604,29.488405797101446,152.604
17.403847331937012,140.449,30.14434782608695,140.449
17.80874558593826,131.085,30.84565217391304,131.085
18.27790543511887,118.374,31.65826086956521,118.374
18.721879424730492,109.711,32.427246376811595,109.711
19.35001978281839,99.4694,33.51521739130434,99.4694
20.139650868375274,89.2864,34.88289855072463,89.2864
20.71156233068123,80.7897,35.87347826086956,80.7897
21.513744509046585,73.615,37.262898550724636,73.615
22.30237150717879,67.6839,38.62884057971014,67.6839
23.28227715971208,60.6335,40.326086956521735,60.6335
24.087471600351467,55.2489,41.72072463768115,55.2489
25.474869399399754,49.8914,44.12376811594202,49.8914
26.834571120317353,44.8286,46.47884057971014,44.8286
28.408561832451564,40.32,49.20507246376811,40.32
29.77571053510218,36.1923,51.57304347826086,36.1923
31.775350641347643,31.7803,55.03652173913042,31.7803
33.40456616183913,28.6126,57.85840579710145,28.6126
35.505619097977025,25.2757,61.497536231884055,25.2757
37.51312455571579,22.7109,64.97463768115941,22.7109
40.5969280587569,19.2179,70.3159420289855,19.2179
43.802560835992224,16.4256,75.8682608695652,16.4256
47.26130731819837,14.0812,81.85898550724637,14.0812
50.28419618414237,12.2907,87.09478260869564,12.2907
53.98417467012731,10.6636,93.50333333333333,10.6636
59.54255163128638,8.78323,103.13072463768114,8.78323
63.85987653554394,7.55979,110.60855072463767,7.55979
70.29431977473423,6.23291,121.75333333333333,6.23291
76.53062309545481,5.25323,132.55492753623187,5.25323
81.91571130190495,4.52602,141.88217391304346,4.52602
84.01596303297627,4.28854596198843,145.5199166199435,4.28854596198843
