transformer/primaryAmps,transformer/primarySeconds,transformer/secondaryAmps,transformer/secondarySeconds
16.695840186611214,980.296,28.918043478260866,980.296
16.846704322169025,892.346,29.179347826086953,892.346
17.08417099810528,802.598,29.59065217391304,802.598
17.464218088345756,730.591,30.24891304347826,730.591
17.81702930719185,669.047,30.859999999999992,669.047
18.23159190265562,602.359,31.578043478260867,602.359
18.525664007158074,539.074,32.087391304347825,539.074
19.089835628898804,485.341,33.0645652173913,485.341
19.494984904756222,440.915,33.766304347826086,440.915
19.928625161288867,402.563,34.517391304347825,402.563
20.535470498578395,354.906,35.56847826086956,354.906
21.034376437715082,315.088,36.43260869565217,315.088
21.761837776894012,277.231,37.692608695652176,277.231
22.536993268745125,246.62,39.03521739130434,246.62
23.130659958585763,219.829,40.063478260869566,219.829
23.7398900035089,197.719,41.118695652173905,197.719
24.462832949276784,179.083,42.37086956521739,179.083
24.93211830938548,163.833,43.18369565217391,163.833
25.537708537394163,152.604,44.23260869565217,152.604
26.10577099790552,140.449,45.21652173913043,140.449
26.713118378907392,131.085,46.268478260869564,131.085
27.41685815267831,118.374,47.48739130434782,118.374
28.082819137095736,109.711,48.640869565217386,109.711
29.025029674227586,99.4694,50.27282608695651,99.4694
30.209476302562912,89.2864,52.32434782608695,89.2864
31.06734349602185,80.7897,53.81021739130435,80.7897
32.27061676356988,73.615,55.894347826086964,73.615
33.453557260768186,67.6839,57.94326086956521,67.6839
34.92341573956813,60.6335,60.48913043478261,60.6335
36.1312074005272,55.2489,62.58108695652173,55.2489
38.21230409909963,49.8914,66.18565217391304,49.8914
40.25185668047603,44.8286,69.71826086956521,44.8286
42.612842748677345,40.32,73.80760869565216,40.32
44.663565802653274,36.1923,77.35956521739129,36.1923
47.66302596202147,31.7803,82.55478260869565,31.7803
50.10684924275869,28.6126,86.78760869565218,28.6126
53.25842864696554,25.2757,92.24630434782608,25.2757
56.26968683357369,22.7109,97.46195652173913,22.7109
60.89539208813535,19.2179,105.47391304347825,19.2179
65.70384125398834,16.4256,113.80239130434782,16.4256
70.89196097729756,14.0812,122.78847826086957,14.0812
75.42629427621355,12.2907,130.64217391304348,12.2907
80.97626200519096,10.6636,140.255,10.6636
89.31382744692958,8.78323,154.69608695652173,8.78323
95.7898148033159,7.55979,165.9128260869565,7.55979
105.44147966210136,6.23291,182.63,6.23291
114.79593464318222,5.25323,198.83239130434782,5.25323
122.87356695285743,4.52602,212.82326086956522,4.52602
126.02394454946442,4.288545961988445,218.27987492991525,4.288545961988445
