fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
10000.0,0.0133,10000.0,0.0133
10000.0,0.0133,10000.0,0.01
7000.0,0.0134,695.097,0.01
5000.0,0.0139,695.097,0.01
3000.0,0.0141,695.097,0.01
2000.0,0.0151,325.3157,0.0444
1000.0,0.0197,216.3692,0.1011
700.0,0.027,136.4732,0.2656
500.0,0.0398,78.7085,0.8584
300.0,0.0845,52.0034,2.6482
200.0,0.1743,41.2323,5.5195
100.0,0.7532,36.7148,10.7122
70.0,1.8617,32.584,34.369
50.0,5.6432,31.417,90.6357
46.6478,7.4487,31.0031,300.0
41.6007,16.7108,,
37.3661,61.8231,,
37.0652,293.4427,,
