fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
10.911016677301161,300.0,10.911016677301161,300.0
0.07118260519594481,300.0,10.911016677301161,0.01
0.07200686091596674,200.0,4.372599916986057,0.01
0.07715674156453263,100.0,4.372599916986057,0.01
0.08191696972969476,70.0,1.9637272460228248,0.05
0.08677085534760466,50.0,1.3828124664755934,0.1
0.09758293549997951,30.0,0.7713734292181628,0.3
0.11446596641324756,20.0,0.5901356490638541,0.5
0.1627960411210632,10.0,0.5011065640757727,0.7
0.2098542717576205,7.0,0.42670368590716173,1.0
0.25309697018040295,5.0,0.31700713476113285,2.0
0.3265459652955701,3.0,0.2709027871780192,3.0
0.38250710443093555,2.0,0.21207999888232257,5.0
0.5163686929308723,1.0,0.1723348716555005,7.0
0.6225676728809408,0.7,0.1313179003574201,10.0
0.7290846138488241,0.5,0.09507034432655839,20.0
0.9554728585328026,0.3,0.08298782564960448,30.0
3.2571926664925224,0.03,0.07281307307953803,50.0
5.288327648292037,0.02,0.06899754086576311,70.0
7.901649253710041,0.019,0.06581793068761735,100.0
,,0.06168443745602785,200.0
,,0.06058622293009738,300.0
