transformer/primaryAmps,transformer/primarySeconds,transformer/secondaryAmps,transformer/secondarySeconds,transformer/inrushAmps,transformer/inrushSeconds
0.8347920093305607,980.296,1.4459021739130433,980.296,15.688866010587658,0.01
0.8423352161084513,892.346,1.4589673913043477,892.346,7.530655685082076,0.1
0.8542085499052641,802.598,1.4795326086956522,802.598,3.765327842541038,1.0
0.8732109044172879,730.591,1.5124456521739131,730.591,1.882663921270519,10.0
0.8908514653595926,669.047,1.543,669.047,1.2551092808470126,900.0
0.911579595132781,602.359,1.5789021739130433,602.359,,
0.9262832003579038,539.074,1.6043695652173913,539.074,,
0.9544917814449403,485.341,1.653228260869565,485.341,,
0.9747492452378111,440.915,1.6883152173913043,440.915,,
0.9964312580644433,402.563,1.7258695652173914,402.563,,
1.0267735249289198,354.906,1.7784239130434782,354.906,,
1.051718821885754,315.088,1.8216304347826084,315.088,,
1.0880918888447006,277.231,1.8846304347826086,277.231,,
1.1268496634372565,246.62,1.9517608695652175,246.62,,
1.1565329979292882,219.829,2.003173913043478,219.829,,
1.1869945001754452,197.719,2.0559347826086953,197.719,,
1.2231416474638392,179.083,2.11854347826087,179.083,,
1.2466059154692741,163.833,2.159184782608696,163.833,,
1.2768854268697083,152.604,2.2116304347826086,152.604,,
1.305288549895276,140.449,2.2608260869565213,140.449,,
1.3356559189453696,131.085,2.3134239130434784,131.085,,
1.3708429076339155,118.374,2.374369565217391,118.374,,
1.404140956854787,109.711,2.4320434782608698,109.711,,
1.4512514837113795,99.4694,2.513641304347826,99.4694,,
1.5104738151281456,89.2864,2.6162173913043474,89.2864,,
1.5533671748010924,80.7897,2.6905108695652173,80.7897,,
1.613530838178494,73.615,2.794717391304348,73.615,,
1.6726778630384094,67.6839,2.897163043478261,67.6839,,
1.7461707869784064,60.6335,3.024456521739131,60.6335,,
1.8065603700263602,55.2489,3.1290543478260866,55.2489,,
1.9106152049549818,49.8914,3.309282608695652,49.8914,,
2.0125928340238017,44.8286,3.485913043478261,44.8286,,
2.1306421374338673,40.32,3.6903804347826084,40.32,,
2.233178290132664,36.1923,3.8679782608695645,36.1923,,
2.3831512981010734,31.7803,4.127739130434782,31.7803,,
2.5053424621379348,28.6126,4.339380434782609,28.6126,,
2.662921432348277,25.2757,4.612315217391305,25.2757,,
2.8134843416786843,22.7109,4.873097826086956,22.7109,,
3.044769604406768,19.2179,5.273695652173913,19.2179,,
3.2851920626994175,16.4256,5.690119565217391,16.4256,,
3.544598048864878,14.0812,6.139423913043479,14.0812,,
3.771314713810678,12.2907,6.532108695652174,12.2907,,
4.048813100259548,10.6636,7.01275,10.6636,,
4.465691372346479,8.78323,7.734804347826086,8.78323,,
4.789490740165796,7.55979,8.295641304347827,7.55979,,
5.272073983105068,6.23291,9.1315,6.23291,,
5.739796732159111,5.25323,9.94161956521739,5.25323,,
6.143678347642871,4.52602,10.64116304347826,4.52602,,
6.301197227473221,4.28854596198843,10.913993746495763,4.28854596198843,,
