fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
10000.0,0.0133,10000.0,0.0133
10000.0,0.0133,10000.0,0.0101
5000.0,0.0133,539.9868,0.0101
3000.0,0.01365,539.9868,0.0101
2000.0,0.01424,539.9868,0.0101
1000.0,0.01714,311.0383,0.0296
700.0,0.02133,180.6427,0.0863
500.0,0.02986,105.7798,0.2692
300.0,0.05738,66.4321,0.7288
200.0,0.1103,45.4881,2.0533
100.0,0.4438,35.6793,4.4553
70.0,1.0132,29.6458,9.667
50.0,2.6315,27.0789,23.1208
38.4235,6.9978,25.5624,57.8009
33.82,14.3982,25.0416,300.0
31.4046,32.2241,,
30.3872,58.0573,,
30.138,299.958,,
