phaseMinAmps,phaseMinSeconds,phaseTotClrAmps,phaseTotClrSeconds
600.0,0.4428409090909091,600.0,0.6052854609929079
600.0,0.4428409090909091,600.0,0.6052854609929079
587.7551020408164,0.4431100669916288,587.7551020408164,0.6056955326160413
575.7600999583508,0.44339056489977857,575.7600999583508,0.6061228859110115
564.0098938367518,0.4436828809492045,564.0098938367518,0.6065682499428937
552.4994878400834,0.4439875134647575,552.4994878400834,0.6070323845995678
541.2239880882449,0.4443049818176201,541.2239880882449,0.6075160819004619
530.1786005762399,0.4446358273170977,530.1786005762399,0.6080201673613502
519.3586291359085,0.4449806141404482,519.3586291359085,0.608545501417647
508.7594734392573,0.4453399303023938,508.7594734392573,0.6090929809087507
498.3766270425378,0.44571438866603263,498.3766270425378,0.6096635406261047
488.2056754702411,0.44610462799694195,488.2056754702411,0.6102581549277628
478.24229433819534,0.44651131406234745,478.24229433819534,0.6108778394223752
468.48224751496684,0.446935140777314,468.48224751496684,0.6115236527256424
458.9213853207838,0.4473768314000033,458.9213853207838,0.6121966982924233
449.55564276321684,0.4478371397781319,449.55564276321684,0.6128981263278303
440.38103780886547,0.4483168516488639,440.38103780886547,0.6136291357807975
431.3936696903172,0.44881678599446906,431.3936696903172,0.6143909764237685
422.5897172476577,0.44933779645618355,422.5897172476577,0.615184951022318
413.9654373038279,0.44988077280882155,413.9654373038279,0.6160124175987002
405.51716307313757,0.4504466424988033,405.51716307313757,0.6168747917935025
397.24130260225724,0.45103637224838056,397.24130260225724,0.6177735493297764
389.1343372430275,0.45165096972897645,389.1343372430275,0.6187102285842255
381.1928201564351,0.4522914853066805,381.1928201564351,0.6196864332702458
373.4133748471201,0.4529590138630889,373.4133748471201,0.6207038352378367
365.7926937277911,0.45365469669482017,365.7926937277911,0.6217641773956465
358.32753671293824,0.4543797234951933,358.32753671293824,0.6228692767606605
351.01472984124564,0.4551353344217184,351.01472984124564,0.6240210276413076
343.8511639261182,0.45592282225321734,343.8511639261182,0.6252214049600389
336.83379323374845,0.45674353464057316,336.83379323374845,0.6264724677217245
329.9596341881618,0.4575988764552936,329.9596341881618,0.6277763626345241
323.2257641026891,0.4584903122402708,323.2257641026891,0.6291353278902078
316.6293199373281,0.45941936876732803,316.6293199373281,0.6305516971112558
310.16749708146426,0.4603876377063634,310.16749708146426,0.6320279034724161
303.83754816143437,0.4613967784111269,303.83754816143437,0.6335664840047892
297.6367818724255,0.4624485208269128,297.6367818724255,0.6351700840909096
291.5625618342127,0.4635446685257012,291.5625618342127,0.6368414621597142
285.61230547024917,0.4646871018745522,285.61230547024917,0.6385834945907463
279.78348290963186,0.4658777813433381,279.78348290963186,0.6403991808374105
274.0736159114761,0.4671187509581972,274.0736159114761,0.6422916487796004
268.4802768112419,0.4684121419074049,268.4802768112419,0.6442641603165489
263.0010874885635,0.4697601763066922,263.0010874885635,0.6463201172113189
257.63371835614385,0.47116517113138856,257.63371835614385,0.6484630671989401
252.37588736928376,0.47262954232313537,252.37588736928376,0.6506967103708329
247.22535905562492,0.47415580907930666,247.22535905562492,0.6530249058488259
242.1799435646938,0.47574659833368527,242.1799435646938,0.655451678762787
237.2374957368429,0.47740464943737626,237.2374957368429,0.657981227546631
232.39591419119304,0.4791328190494005,232.39591419119304,0.6606179315682726
227.6531404321891,0.48093408624690015,227.6531404321891,0.6633663591099384
223.00715797438932,0.48281155786539764,223.00715797438932,0.6662312757161474
218.45599148511607,0.48476847408009915,218.45599148511607,0.6692176529276362
213.9977059446035,0.48680821423981335,213.9977059446035,0.672330677420511
209.63040582328506,0.4889343029656613,209.63040582328506,0.6755757605710021
205.35223427587107,0.4911504165274112,205.35223427587107,0.6789585484673457
201.1613723518737,0.4934603895109557,201.1613723518737,0.6824849323915466
197.05603822224361,0.49586822179118273,197.05603822224361,0.6861610597950881
193.03448642178967,0.49837808582526777,193.03448642178967,0.6899933457940522
189.09500710705927,0.5009943342822404,189.09500710705927,0.6939884852106051
185.2359253293642,0.5037215080255583,185.2359253293642,0.6981534651893982
181.45560032264248,0.506564344466351,181.45560032264248,0.702495578419136
177.75242480585385,0.5095277863059957,177.75242480585385,0.7070224369913839
174.12482429961193,0.5126169906877411,174.12482429961193,0.71174198693064
170.5712564567627,0.5158373387782271,170.5712564567627,0.7166625234317764
167.0902104066247,0.5191944458009483,167.0902104066247,0.7217927068431975
163.68020611261196,0.522694171544994,163.68020611261196,0.7271415794364517
160.3397937429668,0.5263426313737685,160.3397937429668,0.7327185830056097
157.06755305433484,0.5301462077598561,157.06755305433484,0.7385335773424793
153.86209278791983,0.5341115623737617,153.86209278791983,0.7445968596366906
150.72205007796228,0.5382456487559298,150.72205007796228,0.7509191848528748
147.6460898722896,0.5425557256032343,147.6460898722896,0.7575117871405813
144.63290436469185,0.5470493707030505,144.63290436469185,0.7643864023362767
141.68121243888183,0.5517344955500695,141.68121243888183,0.7715552916207313
138.7897591238026,0.5566193606832273,138.7897591238026,0.7790312663993947
135.95731506005154,0.5617125917824703,135.95731506005154,0.7868277144779707
133.18267597719336,0.5670231965676303,133.18267597719336,0.7949586276104013
130.46466218174044,0.5725605825443942,130.46466218174044,0.8034386305018469
127.80211805558247,0.5783345756452951,127.80211805558247,0.8122830113550839
125.19391156465221,0.5843554398167957,125.19391156465221,0.8215077540550335
122.63893377761849,0.5906338976069333,122.63893377761849,0.8311295720929692
120.13609839440178,0.5971811518116498,120.13609839440178,0.8411659443393302
117.68434128431196,0.6040089082418714,117.68434128431196,0.851635152782094
