transformer/primaryAmps,transformer/primarySeconds,transformer/secondaryAmps,transformer/secondarySeconds
12.521880139958409,980.296,21.688532608695645,980.296
12.635028241626767,892.346,21.88451086956521,892.346
12.813128248578959,802.598,22.19298913043478,802.598
13.098163566259316,730.591,22.686684782608694,730.591
13.362771980393886,669.047,23.144999999999992,669.047
13.673693926991714,602.359,23.68353260869565,602.359
13.894248005368555,539.074,24.065543478260867,539.074
14.317376721674101,485.341,24.79842391304347,485.341
14.621238678567165,440.915,25.324728260869563,440.915
14.946468870966648,402.563,25.888043478260865,402.563
15.401602873933795,354.906,26.67635869565217,354.906
15.77578232828631,315.088,27.324456521739123,315.088
16.321378332670506,277.231,28.269456521739123,277.231
16.90274495155884,246.62,29.276413043478254,246.62
17.347994968939318,219.829,30.047608695652166,219.829
17.804917502631675,197.719,30.839021739130427,197.719
18.347124711957584,179.083,31.778152173913035,179.083
18.699088732039108,163.833,32.38777173913043,163.833
19.153281403045618,152.604,33.17445652173912,152.604
19.579328248429135,140.449,33.912391304347814,140.449
20.034838784180543,131.085,34.701358695652175,131.085
20.56264361450873,118.374,35.61554347826086,118.374
21.0621143528218,109.711,36.48065217391304,109.711
21.768772255670687,99.4694,37.70461956521738,99.4694
22.657107226922182,89.2864,39.24326086956521,89.2864
23.300507622016383,80.7897,40.357663043478254,80.7897
24.202962572677407,73.615,41.920760869565214,73.615
25.090167945576137,67.6839,43.4574456521739,67.6839
26.192561804676092,60.6335,45.36684782608695,60.6335
27.098405550395398,55.2489,46.935815217391294,55.2489
28.659228074324723,49.8914,49.639239130434774,49.8914
30.188892510357018,44.8286,52.2886956521739,44.8286
31.959632061508007,40.32,55.35570652173912,40.32
33.49767435198995,36.1923,58.019673913043455,36.1923
35.7472694715161,31.7803,61.91608695652173,31.7803
37.58013693206901,28.6126,65.09070652173912,28.6126
39.94382148522415,25.2757,69.18472826086955,25.2757
42.20226512518026,22.7109,73.09646739130433,22.7109
45.67154406610151,19.2179,79.10543478260868,19.2179
49.27788094049125,16.4256,85.35179347826086,16.4256
53.16897073297316,14.0812,92.09135869565215,14.0812
56.569720707160165,12.2907,97.9816304347826,12.2907
60.73219650389321,10.6636,105.19124999999998,10.6636
66.98537058519717,8.78323,116.02206521739127,8.78323
71.84236110248692,7.55979,124.43461956521736,7.55979
79.081109746576,6.23291,136.97249999999997,6.23291
86.09695098238666,5.25323,149.12429347826085,5.25323
92.15517521464307,4.52602,159.6174456521739,4.52602
94.5179584120983,4.288545961988414,163.7099061974364,4.288545961988414
