fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
10000.0,0.0133,10000.0,0.0133
10000.0,0.0133,10000.0,0.01
3000.0,0.0133,224.6544,0.01
2000.0,0.01365,224.6544,0.01
1000.0,0.0142,224.6544,0.01
700.0,0.01498,75.0172,0.0921
500.0,0.01691,22.6538,1.4367
300.0,0.0242,14.7424,5.577
200.0,0.0372,12.9716,15.0489
100.0,0.1038,12.2234,38.471
70.0,0.1994,12.0569,300.0
50.0,0.3812,,
30.0,1.1774,,
20.0,3.5,,
19.8418,3.7273,,
17.5385,6.306,,
15.7885,12.3028,,
14.6083,32.7119,,
14.4094,298.5989,,
